word,frequency,level
direkt,11,B1
krankhaft,11,B1
kindlich,11,B1
kräftig,11,B1
echt,11,B1
real,11,B1
anerkannt,11,B1
vegetarianisch,11,B1
breit,11,B1
höherem,11,B1
silbern,11,B1
steil,11,B1
grös,11,B1
siegreich,11,B1
wiederholt,11,B1
heftig,11,B1
recht,11,B1
osmanisch,11,B1
mystisch,11,B1
thierisch,11,B1
väterlich,11,B1
billig,11,B1
gesandt,11,B1
alternirend,11,B1
einheitlich,11,B1
gefangen,11,B1
schlau,11,B1
ziemlich,11,B1
wunderbar,10,B1
genau,10,B1
dreizehnter,10,B1
bedeutend,10,B1
äuss,10,B1
geworden,10,B1
entgegengesetzt,10,B1
viert,10,B1
holländisch,10,B1
völlig,10,B1
betreffend,10,B1
deinen,10,B1
acht,10,B1
angeblich,10,B1
praktisch,10,B1
indisch,10,B1
unbewusst,10,B1
15.,10,B1
zwölft,10,B1
zarisch,10,B1
verloren,10,B1
33.,10,B1
untersinnlich,10,B1
chemisch,10,B1
erbärmlich,10,B1
II.,10,B1
schlafend,10,B1
zitternd,10,B1
roh,10,B1
naturgemäss,10,B1
unbekannt,10,B1
eu,10,B1
letzterer,10,B1
merkwürdig,10,B1
eith,10,B1
I.,10,B1
eigenthümlich,10,B1
rechtschaffen,10,B1
humanistisch,10,B1
seiden,10,B1
wachsend,10,B1
uralt,10,B1
bestehend,10,B1
vergangen,10,B1
höllisch,10,B1
werthvoll,9,B1
42.,9,B1
geistlich,9,B1
gleichnamig,9,B1
unumschränkt,9,B1
mathematisch,9,B1
morgenländisch,9,B1
gefallen,9,B1
kommend,9,B1
städtisch,9,B1
niguderisch,9,B1
unterer,9,B1
elektrisch,9,B1
39.,9,B1
andr,9,B1
dergleich,9,B1
transcendental,9,B1
eilft,9,B1
ev,9,B1
unterirdisch,9,B1
steigend,9,B1
ausreichend,9,B1
ererbt,9,B1
hervorragend,9,B1
vermehrt,9,B1
tatarisch,9,B1
überflüssig,9,B1
furchtbar,9,B1
unsterblich,9,B1
mechanisch,9,B1
nöthig,9,B1
verändert,9,B1
kritisch,9,B1
laut,9,B1
entsprechend,9,B1
etwaig,9,B1
indirekt,9,B1
schröcklich,9,B1
grausam,9,B1
ausgezeichnet,9,B1
o,9,B1
elegant,9,B1
niedrig,9,B1
subjektiv,9,B1
ehelich,9,B1
interessant,9,B1
purpos,9,B1
kostbar,9,B1
himmlisch,9,B1
toll,8,B1
derartig,8,B1
einfältig,8,B1
schändlich,8,B1
leiblich,8,B1
verständig,8,B1
erhöht,8,B1
erwachsen,8,B1
vierzehnt,8,B1
schlimm,8,B1
unentbehrlich,8,B1
unwillkürlich,8,B1
angeboren,8,B1
through,8,B1
genügend,8,B1
Archiv,8,B1
stat,8,B1
violat,8,B1
obsolet,8,B1
gestellt,8,B1
machine-readable,8,B1
Website,8,B1
Newsletter,8,B1
sanft,8,B1
nothwendig,8,B1
zart,8,B1
bewusst,8,B1
jugendlich,8,B1
Deiner,8,B1
ehemalig,8,B1
or,8,B1
alternat,8,B1
websiter,8,B1
Proprietary,8,B1
immediat,8,B1
display,8,B1
1.E.2.,8,B1
oth,8,B1
dauernd,8,B1
blank,8,B1
rasch,8,B1
ursprünglich,8,B1
adelig,8,B1
grau,8,B1
versammelt,8,B1
unabhängig,8,B1
tüchtig,8,B1
liegend,8,B1
includ,8,B1
erschröcklich,8,B1
glatt,8,B1
plötzlich,8,B1
brennend,8,B1
zunehmend,8,B1
ungewöhnlich,8,B1
abstrakt,8,B1
faul,8,B1
psychologisch,8,B1
sämmtlich,8,B1
altsprachlich,8,B1
Moharrem,7,B1
obgemeldt,7,B1
nächtlich,7,B1
hingerichtet,7,B1
ordentlich,7,B1
militärisch,7,B1
übl,7,B1
gegründet,7,B1
glühend,7,B1
getödtet,7,B1
national,7,B1
unvernünftig,7,B1
tot,7,B1
freundschaftlich,7,B1
fern,7,B1
dreizehnt,7,B1
damalig,7,B1
neunter,7,B1
beständig,7,B1
zehnter,7,B1
reifer,7,B1
redlich,7,B1
äußer,7,B1
symbolisch,7,B1
erhalten,7,B1
instinktiv,7,B1
intensiv,7,B1
lebhaft,7,B1
geliebt,7,B1
getrennt,7,B1
verstärkt,7,B1
obgenannt,7,B1
unversöhnlich,7,B1
zeitweilig,7,B1
dieselbig,7,B1
nervös,7,B1
in's,7,B1
nützlich,7,B1
positiv,7,B1
euer,7,B1
heiß,7,B1
verfügbar,7,B1
gesetzlich,7,B1
ungeheur,7,B1
befindlich,7,B1
fehlerhaft,7,B1
dicht,7,B1
poetisch,7,B1
Madame,7,B1
schmerzlich,7,B1
finster,7,B1
egoistisch,7,B1
reell,7,B1
kleinlich,7,B1
bürgerlich,7,B1
ungeheu,7,B1
obligatorisch,7,B1
jämmerlich,7,B1
35.,7,B1
phantastisch,7,B1
46.,7,B1
45.,7,B1
38.,7,B1
regierend,7,B1
ästhetisch,7,B1
imag,7,B1
unnütz,7,B1
verbunden,7,B1
möglich,7,B1
reichlich,7,B1
periodisch,6,B1
armselig,6,B1
neunt,6,B1
närrisch,6,B1
zusammenhängend,6,B1
vermittelt,6,B1
hohl,6,B1
gekauft,6,B1
selig,6,B1
eilf,6,B1
theoretisch,6,B1
weis,6,B1
unsittlich,6,B1
üblich,6,B1
beträchtlich,6,B1
passiv,6,B1
aufgehoben,6,B1
barbarisch,6,B1
auss,6,B1
geborn,6,B1
mittelländisch,6,B1
äusserst,6,B1
vereinzelt,6,B1
äusser,6,B1
verderblich,6,B1
fröhlich,6,B1
gehalten,6,B1
entstanden,6,B1
verrätherisch,6,B1
verstorben,6,B1
verwandt,6,B1
mächtigst,6,B1
