word,frequency,level
Einsiedel,42,A1
Paper,42,A1
Schaf,42,A1
Doctor,42,A1
Krankheit,42,A1
Ulus,42,A1
Arzt,41,A1
’s,41,A1
Bischof,41,A1
-n,41,A1
deutsche,41,A1
Beweis,41,A1
Plan,41,A1
Archive,41,A1
Mamluke,41,A1
Schein,41,A1
Wahl,41,A1
Brief,41,A1
p.p,41,A1
Grade,40,A1
Richtung,40,A1
Zeitung,40,A1
Quelle,40,A1
Hauptstadt,40,A1
Wagen,40,A1
Brot,40,A1
Feder,40,A1
Wand,40,A1
Reiter,40,A1
Franzose,39,A1
Reihe,39,A1
Bildung,39,A1
Hinrichtung,39,A1
Chalifat,39,A1
Festung,39,A1
Scheich,39,A1
Ebene,39,A1
Minute,39,A1
Keller,39,A1
Bewegung,39,A1
Literatur,39,A1
Herzen,39,A1
Woche,39,A1
gute,39,A1
Sommer,38,A1
-s,38,A1
Glas,38,A1
Inhalt,38,A1
Fehler,38,A1
Berk,38,A1
Weile,38,A1
Ogotai,38,A1
Oheim,38,A1
ansehen,38,A1
Höhle,38,A1
Wunder,38,A1
Fuchs,37,A1
Freundschaft,37,A1
As,37,A1
Erinnerung,37,A1
Winter,37,A1
Einfluss,37,A1
Lust,37,A1
Unglück,37,A1
Pfannkuche,37,A1
Grab,37,A1
Hose,36,A1
Begriff,36,A1
anderer,36,A1
General,36,A1
Gunst,36,A1
Ander,36,A1
Majestät,36,A1
Unterricht,36,A1
Eigenschaft,36,A1
Speise,36,A1
Umstand,36,A1
Summe,36,A1
Großmutter,36,A1
Schloss,36,A1
Gespräch,36,A1
Vetter,35,A1
Kamerad,35,A1
Anblick,35,A1
aegypter,35,A1
Fluß,35,A1
Heere,35,A1
Sorge,35,A1
Bein,35,A1
Schreiben,35,A1
Ausnahme,35,A1
Gericht,35,A1
Beute,35,A1
Raum,35,A1
Neffe,35,A1
Versuch,35,A1
Staat,35,A1
Ordnung,34,A1
Lohn,34,A1
Thore,34,A1
Stuhl,34,A1
Opfer,34,A1
Absicht,34,A1
Throne,34,A1
Astronom,34,A1
Erscheinung,34,A1
Fisch,34,A1
Punkt,34,A1
Prokurist,34,A1
Saal,33,A1
alte,33,A1
Mütze,33,A1
Dorf,33,A1
Gemahlinn,33,A1
Prophet,33,A1
Zahn,33,A1
Besitz,33,A1
Westen,33,A1
Geselligkeit,33,A1
Leistung,33,A1
aegypten,33,A1
Gesetz,33,A1
Handel,33,A1
Schiff,33,A1
Sicherheit,33,A1
Tus,32,A1
Residenz,32,A1
That,32,A1
Wirkung,32,A1
Uluse,32,A1
Illustration,32,A1
